Division,Gender,Base Salary
School Health Services,F,40717.75
School Health Services,F,42142.89
School Health Services,F,42142.94
School Health Services,F,42142.91
School Health Services,F,98151.04
School Health Services,F,42142.91
School Health Services,F,42142.91
School Health Services,F,44250.04
Ombudsman Services,F,90045.6
Income Supports,M,60787.26
24 Hours Crisis Center,M,45940.78
Latino Health Initiative,M,87492.08
Income Supports,M,54295.44
Adult Behavioral Health Services,F,56826.84
Child Welfare Services,F,87149.38
Information Systems and Technology,M,126584
"Chief, Public Health",F,107517.14
Adult Behavioral Health Services,F,75008.18
Autism Waiver,F,65258.88
Child Welfare Services,F,65698.54
Medical Assistance Eligibility Services,F,60935.54
Child Welfare Services,F,75374.01
Child Welfare Services,F,73525.37
Child Welfare Services,F,75374.02
Income Supports,F,60199.18
Early Childhood Services,F,95096.23
Income Supports,F,49771.5
Income Supports,F,60199.18
Income Supports,M,64644.7
Income Supports,F,60199.18
Child Welfare Services,F,59355.51
Income Supports,F,58162.92
School Health Services,F,43617.9
School Health Services,F,43617.9
School Health Services,F,42142.91
School Health Services,F,89775.98
School Health Services,F,4816.33
School Health Services,F,48162.69
School Health Services,F,43617.9
School Health Services,F,33720.41
"Planning, Accountability and Customer Service",M,120773.72
Income Supports,F,60199.18
Access to Behavioral Health Services,M,86669
School Based Health Centers,F,100644.12
Medical Assistance Eligibility Services,F,68537.23
Income Supports,F,63123.73
School Health Services,F,103058.61
Home Energy Assistance Program,F,58163.46
Income Supports,F,56883.57
Care Coordination,F,88448.99
School Health Services,F,92917.66
Child Welfare Services,F,75374.29
Medical Assistance Eligibility Services,F,68945.37
24 Hours Crisis Center,F,103928.75
Income Supports,F,72574.08
Montgomery Cares,F,94077.51
Medical Assistance Eligibility Services,F,60199.17
Medical Assistance Eligibility Services,F,54577.29
Area Health Centers,F,92917.72
STD and HIV Services,F,83577.61
Adult Protective and Case Management Services,F,84412.67
Adult Protective and Case Management Services,F,92092.47
Child Welfare Services,F,60361.31
Adult Protective and Case Management Services,F,81271.66
Head Start,M,76797.95
Abused Persons Program,F,47836.02
Income Supports,F,82528.44
Area Health Centers,F,98151.72
School Health Services,F,42142.43
School Health Services,F,42142.44
School Health Services Center,F,46459.96
School Health Services,F,89777.59
Area Health Centers,F,56826.41
Income Supports,F,50935.32
Income Supports,F,45940.95
Adult Protective and Case Management Services,F,85128.59
Healthcare for the Homeless,F,90345.65
Chief Services to End and Prevent Homelessness,F,98520.49
Income Supports,F,60199.6
Information Systems and Technology,M,96591.43
Medical Assistance Eligibility Services,F,58163.31
Income Supports,F,166978.86
Information Systems and Technology,M,126584
Contract Team,M,99852
Educational Support,F,33826.89
Social Services Officer,F,155854
Child Welfare Services,F,67831.32
School Health Services,F,40717.34
School Health Services,F,42142.42
Income Supports,F,46534.11
School Health Services,F,42142.42
Nursing Home Inspections,M,92610.3
Public Health Emergency Preparedness and Response Program,M,80958.99
Environmental Health and Regulatory Services,F,79996.91
Treatment Services Admin,F,99353.79
Screening and Assessment Services for Children and Adolescents,F,72636.82
TB and Refugee Health,F,41970.56
Nurse Monitoring,F,67720.76
Area Health Centers,F,50220.64
Positive Youth Development,F,51255.35
School Based Health Centers,F,79776.09
School Health Services,F,92610.62
School Health Services,F,85458.08
School Health Services,F,89775.98
School Health Services,F,40717.34
School Health Services,F,94832.45
School Health Services,M,42142.42
24 Hours Crisis Center,F,94832.44
Income Supports,F,58320.12
Transit Gaithersburg Ride On,F,43439.52
Access to Behavioral Health Services,F,69178.34
Emergency Housing Assistance,F,69887.1
Early Childhood Services,F,67726.73
Income Supports,M,61710.81
Child Welfare Services,F,72825.85
Child Welfare Services,F,34943.54
Adult Behavioral Health Services,F,72637.25
Medication Assisted Treatment - Clinical and Vocational Services,F,94832.45
Health Care and Group Residential Services,F,94832.45
Child Welfare Services,F,68814.8
School Based Health Centers,F,92610.61
School Health Services,F,40717.33
School Health Services,F,40717.35
School Health Services,M,42142.42
School Health Services,M,34900.6
School Health Services,F,91625.59
School Health Services,F,41932.78
School Health Services,F,33720.39
Area Agency on Aging Administration,F,91880.68
Service Coordination and Individual Support Services,F,66211.2
"Chief, Children Youth and Families",F,61628.43
African American Health Program,F,98638.66
Chief Operating Officer,F,92473.74
Senior Health Promotion,F,98638.66
Area Health Centers,F,61432.95
Cancer and Tobacco Prevention,F,76629.9
Care Coordination,F,67197.59
Early Childhood Services,F,99255.16
Child Welfare Services,F,70363.16
Maternity Dental,F,59564.41
Income Supports,M,41787.38
24 Hours Crisis Center,F,70181.01
Environmental Health and Regulatory Services,F,70181.01
Child and Adolescent Mental Health Clinic Services,M,70181.01
Service Coordination and Individual Support Services,F,68824.48
Area Agency on Aging Administration,F,102450.79
Infants and Toddlers,F,70264.55
Income Supports,F,64125.21
Income Supports,M,56195.76
TB and Refugee Health,F,99871.64
Director's Office,F,112247.94
Income Supports,F,58163.46
Environmental Health and Regulatory Services,F,63157.75
STD and HIV Services,F,65623.96
Care Coordination,F,49212.87
Service Coordination and Individual Support Services,F,65520.85
School Health Services,F,40717.36
School Health Services,F,40717.36
School Health Services,F,39340.46
School Health Services,F,39340.42
School Health Services,F,79776.07
School Health Services,F,40717.36
School Health Services,F,39340.42
School Health Services,F,83806.89
School Health Services,F,40717.38
Home Care Services,F,99255.16
Child Welfare Services,F,55263.14
Victim Assistance and Sexual Assault Program,F,44315.92
Compliance Team,F,99115.19
Maternity Dental,F,53607.97
Director's Office,F,131248.71
Child and Adolescent Mental Health Clinic Services,F,71249.89
Home Energy Assistance Program,F,47175.14
Service Coordination and Individual Support Services,F,61946.99
Income Supports,F,42886.49
24 Hours Crisis Center,M,101796.5
Adult Drug Court,M,66839.06
Income Supports,F,61815.35
Adult Drug Court,M,74738.44
Adult Protective and Case Management Services,F,49785.18
School Health Services,F,39340.18
School Health Services,F,40717.08
School Health Services,F,81486.47
School Health Services,F,38009.72
School Health Services,F,39340.16
School Health Services,F,39340.18
School Health Services,F,40717.09
School Health Services,F,75646.79
School Health Services,F,82568.73
School Health Services Center,M,33736.98
School Health Services,F,82568.73
Chief Services to End and Prevent Homelessness,F,156000
Income Supports,F,73052.74
Income Supports,M,42886.49
Child Welfare Services,F,67012.54
Chief Operating Officer,F,82975.3
Child and Adolescent Mental Health Clinic Services,F,70720.74
Income Supports,F,19460.64
Child Welfare Services,F,66806.53
Community Action Agency,F,105497.16
Child and Adolescent Mental Health Clinic Services,F,114980.04
Environmental Health and Regulatory Services,F,54959.84
Home Energy Assistance Program,F,58163.31
Income Supports,F,56195.76
Educational Support,F,79737.35
Fiscal Team,F,94629.73
Medical Assistance Eligibility Services,F,53100.66
Environmental Health and Regulatory Services,M,64578.36
Medical Assistance Eligibility Services,F,56195.76
Income Supports,F,81363.21
Human Resources,F,109761
Child Welfare Services,F,71317.27
Income Supports,F,33863.37
Home Energy Assistance Program,F,64009.51
Adult Protective Services - Nurse Assessment,F,91626.06
Child Welfare Services,F,64746.43
Medical Assistance Eligibility Services,F,62864.53
Abused Persons Program,M,70181.01
Infants and Toddlers,F,51089.07
Public Health Emergency Preparedness and Response Program,M,119054.06
Behavioral Health Planning and Management,F,72467.4
Child Welfare Services,F,61432.96
Medical Assistance Eligibility Services,M,54295.44
Service Coordination and Individual Support Services,F,49192.49
Forensic Services,F,67838.23
Infants and Toddlers,F,50288.96
Infants and Toddlers,F,49666.64
Infants and Toddlers,F,52363.34
Infants and Toddlers,F,48836.89
School Health Services,M,79776.22
Infants and Toddlers,F,47185.4
Autism Waiver,F,68824.48
School Health Services,F,83806.91
Public Health Emergency Preparedness and Response Program,F,115099
Autism Waiver,F,58860.39
School Health Services,F,81486.73
School Health Services,F,67443.66
Child Welfare Services,M,64578.79
Health Planning and Epidemiology,M,132037.87
Director's Office,F,76075.15
Child Welfare Services,F,69357.95
Income Supports,M,52969.06
Child Welfare Services,F,64578.36
Child Welfare Services,F,64746.43
Area Health Centers,F,103356.07
Income Supports,F,46411.92
School Health Services,F,38009.59
School Health Services,F,79776.22
School Health Services,F,78731.11
School Health Services,F,38009.45
School Health Services,F,74471.84
School Health Services,F,39339.87
School Health Services,F,38009.59
School Health Services,F,38009.57
School Health Services,F,83529.5
School Health Services,F,39339.9
Latino Health Initiative,F,87747.57
Fiscal Team,F,91508.18
Child Welfare Services,F,75383.13
Adult Protective and Case Management Services,F,100567.82
Latino Health Initiative,F,75212.2
School Health Services,F,69804.2
Child Welfare Services,F,64746.43
Senior Group Homes Certification,M,79776.22
Area Health Centers,F,86453
Ombudsman Services,F,87519.66
Child Welfare Services,F,81271.66
Director's Office,F,86453.01
Income Supports,F,60449.38
Maternity Dental,F,52306.66
Child Welfare Services,F,69357.95
STD and HIV Services,M,48676.28
Area Health Centers,F,76068.89
"Chief, Children Youth and Families",F,94227.21
Director's Office,F,62904.74
Area Health Centers,F,51255.36
Child Welfare Services,F,67983.74
Income Supports,M,69357.52
Behavioral Health Planning and Management,F,77719.28
Care Coordination,F,81486.73
Income Supports,F,56195.76
Income Supports,M,41436.23
Screening and Assessment Services for Children and Adolescents,F,66839.05
Victim Assistance and Sexual Assault Program,F,70720.74
Child Welfare Services,F,64746.43
Service Coordination and Individual Support Services,F,71233.33
Income Supports,F,53909.59
Compliance Team,F,94015.26
Fiscal Team,F,98527.98
Community Support Network for People with Disabilities,M,112149.86
Child Welfare Services,F,64746.43
Child Welfare Services,F,64746.43
Adult Protective and Case Management Services,F,84971.29
Income Supports,F,56801.94
Child Welfare Services,F,82375.6
Medical Assistance Eligibility Services,F,54295.44
Income Supports,F,46309.46
Income Supports,F,89895.67
Service Coordination and Individual Support Services,F,72220.81
24 Hours Crisis Center,F,104680
Child Welfare Services,F,64746.39
Child Welfare Services,F,64746.39
Service Coordination and Individual Support Services,F,63123.73
